time,mma_peak_area,bmdo_peak_area,A1,A2,M1,M2,f1,f2,c1,c2,0.65
0.033333333,6.582581793,0.483687558,6.582581793,0.483687558,0.945928002,0.851189622,0.526358425,0.473641575,0.864068566,-0.497916912,0.684265952
0.116666667,6.763468719,0.527560681,6.763468719,0.527560681,0.971921755,0.928397204,0.511451907,0.488548093,0.86033322,-0.633786217,0.664887479
0.2,6.837484516,0.549626324,6.837484516,0.549626324,0.982557949,0.967228153,0.503931148,0.496068852,0.858804781,-0.702120621,0.655110492
0.283333333,6.933213798,0.561777686,6.933213798,0.561777686,0.996314407,0.988612025,0.501940219,0.498059781,0.856827955,-0.739751793,0.652522284
0.383333333,6.988540412,0.563921564,6.988540412,0.563921564,1.004264934,0.992384805,0.502975016,0.497024984,0.855685451,-0.746391102,0.65386752
0.45,6.940683156,0.566230213,6.940683156,0.566230213,0.997387766,0.996447548,0.500235781,0.499764219,0.856673712,-0.753540685,0.650306516
0.533333333,6.950823457,0.565602441,6.950823457,0.565602441,0.998844944,0.995342799,0.500878088,0.499121912,0.856464313,-0.751596557,0.651141515
0.616666667,6.948100723,0.563605524,6.948100723,0.563605524,0.998453683,0.99182864,0.501664348,0.498335652,0.856520538,-0.745412367,0.652163652
0.7,6.967113902,0.568349032,6.967113902,0.568349032,1.001185908,1.000176229,0.500252248,0.499747752,0.856127912,-0.76010239,0.650327922
0.783333333,6.915127424,0.569134903,6.915127424,0.569134903,0.993715365,1.001559199,0.498034397,0.501965603,0.857201442,-0.76253613,0.647444716
0.866666667,6.968324988,0.566595747,6.968324988,0.566595747,1.001359944,0.997090811,0.50106811,0.49893189,0.856102903,-0.754672696,0.651388544
0.95,6.890758425,0.564559018,6.890758425,0.564559018,0.990213499,0.993506592,0.49916997,0.50083003,0.857704666,-0.748365214,0.648920961
1.033333333,6.971403845,0.569281591,6.971403845,0.569281591,1.00180238,1.00181734,0.499996267,0.500003733,0.856039324,-0.762990404,0.649995147
1.116666667,6.925905826,0.566809733,6.925905826,0.566809733,0.995264239,0.997467383,0.499447205,0.500552795,0.856978866,-0.755335384,0.649281366
1.2,6.993780468,0.571169661,6.993780468,0.571169661,1.005017939,1.005139951,0.499969651,0.500030349,0.855577243,-0.768837508,0.649960547
1.283333333,6.944158616,0.569181859,6.944158616,0.569181859,0.997887195,1.001641833,0.49906112,0.50093888,0.856601943,-0.762681548,0.648779456
1.366666667,6.983829155,0.570184601,6.983829155,0.570184601,1.003587918,1.003406449,0.500045209,0.499954791,0.855782739,-0.765786906,0.650058772
1.45,7.030789078,0.568335368,7.030789078,0.568335368,1.010336138,1.000152184,0.502532706,0.497467294,0.854813009,-0.760060075,0.653292518
1.55,7.009129716,0.568647243,7.009129716,0.568647243,1.007223651,1.000701019,0.501624222,0.498375778,0.855260278,-0.761025911,0.652111489
1.616666667,6.958882283,0.571562031,6.958882283,0.571562031,1.000003011,1.005830441,0.498547379,0.501452621,0.856297897,-0.770052628,0.648111593
1.716666667,6.980342033,0.569281499,6.980342033,0.569281499,1.003086813,1.001817177,0.500316633,0.499683367,0.855854749,-0.762990117,0.650411622
1.8,6.941367646,0.574105316,6.941367646,0.574105316,0.997486129,1.010306094,0.496807447,0.503192553,0.856659577,-0.777928848,0.645849681
1.883333333,6.976417692,0.572521118,6.976417692,0.572521118,1.002522879,1.007518235,0.498757399,0.501242601,0.855935787,-0.773022795,0.648384619
1.966666667,6.969019987,0.57309663,6.969019987,0.57309663,1.001459816,1.008531015,0.498240987,0.501759013,0.856088551,-0.774805078,0.647713283
2.05,6.948545389,0.571954035,6.948545389,0.571954035,0.998517582,1.006520286,0.498004351,0.501995649,0.856511355,-0.771266611,0.647405656
2.116666667,7.01947714,0.568845914,7.01947714,0.568845914,1.008710593,1.001050638,0.501905688,0.498094312,0.855046602,-0.761641168,0.652477394
2.2,6.958641355,0.571927219,6.958641355,0.571927219,0.999968389,1.006473096,0.498379044,0.501620956,0.856302872,-0.771183567,0.647892757
2.283333333,6.929034975,0.569689971,6.929034975,0.569689971,0.995713903,1.002536003,0.498292981,0.501707019,0.856914248,-0.764255102,0.647780876
2.366666667,6.993755543,0.573467728,6.993755543,0.573467728,1.005014357,1.009184072,0.498964919,0.501035081,0.855577758,-0.775954322,0.648654395
2.466666667,6.925170434,0.571282434,6.925170434,0.571282434,0.995158562,1.005338407,0.497455671,0.502544329,0.856994052,-0.769186751,0.646692372
2.533333333,6.949535335,0.568619491,6.949535335,0.568619491,0.998659839,1.000652181,0.499501743,0.500498257,0.856490913,-0.760939966,0.649352266
2.616666667,6.97705624,0.569640934,6.97705624,0.569640934,1.002614639,1.002449709,0.500041128,0.499958872,0.855922601,-0.764103242,0.650053467
2.7,7.050455169,0.57004318,7.050455169,0.57004318,1.013162188,1.003157578,0.502480909,0.497519091,0.854406901,-0.765348944,0.653225181
2.8,6.961999383,0.570108301,6.961999383,0.570108301,1.000450944,1.003272178,0.499296002,0.500703998,0.856233528,-0.765550617,0.649084802
2.866666667,6.98652705,0.571049874,6.98652705,0.571049874,1.00397561,1.004929149,0.499762672,0.500237328,0.855727027,-0.768466542,0.649691473
2.966666667,6.963311237,0.569710416,6.963311237,0.569710416,1.000639459,1.002571983,0.499517643,0.500482357,0.856206438,-0.764318419,0.649372937
3.033333333,6.989584536,0.571536635,6.989584536,0.571536635,1.004414976,1.005785748,0.499659046,0.500340954,0.85566389,-0.769973977,0.64955676
3.133333333,6.908676917,0.572472082,6.908676917,0.572472082,0.992788416,1.007431941,0.496339522,0.503660478,0.857334646,-0.772870936,0.645241379
3.216666667,6.95139218,0.56963468,6.95139218,0.56963468,0.998926671,1.002438702,0.499122591,0.500877409,0.856452568,-0.764083872,0.648859369
3.3,6.965128834,0.574875115,6.965128834,0.574875115,1.000900651,1.01166078,0.497326758,0.502673242,0.856168904,-0.780312813,0.646524785
3.383333333,7.005606159,0.572754053,7.005606159,0.572754053,1.00671731,1.007928152,0.49969949,0.50030051,0.855333041,-0.773744163,0.649609337
3.45,6.99924446,0.572642616,6.99924446,0.572642616,1.005803123,1.007732045,0.499521011,0.500478989,0.855464411,-0.773399057,0.649377314
3.533333333,6.96877736,0.571874519,6.96877736,0.571874519,1.00142495,1.006380353,0.498765965,0.501234035,0.856093561,-0.77102036,0.648395755
3.616666667,6.957983238,0.572592883,6.957983238,0.572592883,0.999873817,1.007644526,0.498064598,0.501935402,0.856316462,-0.773245041,0.647483978
3.7,6.941911678,0.573810645,6.941911678,0.573810645,0.997564307,1.009787533,0.496955385,0.503044615,0.856648342,-0.777016288,0.646042001
3.783333333,6.998186675,0.574677475,6.998186675,0.574677475,1.005651118,1.011312975,0.498596441,0.501403559,0.855486254,-0.779700749,0.648175373
3.866666667,6.97933136,0.571460312,6.97933136,0.571460312,1.002941578,1.005651436,0.499325434,0.500674566,0.85587562,-0.769737616,0.649123064
3.966666667,6.959985292,0.571069415,6.959985292,0.571069415,1.000161515,1.004963538,0.498802563,0.501197437,0.856275119,-0.76852706,0.648443332
4.033333333,6.973639084,0.570382065,6.973639084,0.570382065,1.002123588,1.003753945,0.499593605,0.500406395,0.855993166,-0.766398427,0.649471687
4.133333333,6.992152471,0.576119614,6.992152471,0.576119614,1.004783993,1.01385084,0.497754213,0.502245787,0.855610861,-0.784166864,0.647080477
4.216666667,7.038228108,0.571713693,7.038228108,0.571713693,1.011405139,1.006097335,0.501315439,0.498684561,0.854659392,-0.770522305,0.651710071
4.3,7.044226526,0.573336168,7.044226526,0.573336168,1.012267121,1.008952553,0.500819943,0.499180057,0.854535523,-0.775546896,0.651065926
4.383333333,6.938873112,0.576583661,6.938873112,0.576583661,0.99712766,1.014667466,0.495640757,0.504359243,0.856711089,-0.785603956,0.644332985
4.466666667,6.952504805,0.573023655,6.952504805,0.573023655,0.999086557,1.008402595,0.497679679,0.502320321,0.856429593,-0.774579085,0.646983583
4.55,7.030127298,0.573606664,7.030127298,0.573606664,1.010241039,1.009428569,0.500201139,0.499798861,0.854826675,-0.776384585,0.650261481
4.633333333,6.953700794,0.572154902,6.953700794,0.572154902,0.999258422,1.006873769,0.498101983,0.501898017,0.856404895,-0.771888669,0.647532578
4.716666667,6.961919898,0.571475319,6.961919898,0.571475319,1.000439521,1.005677845,0.498694412,0.501305588,0.856235169,-0.769784091,0.648302736
4.8,7.014373576,0.574679533,7.014373576,0.574679533,1.007977203,1.011316596,0.499173128,0.500826872,0.855151992,-0.779707122,0.648925067
4.883333333,6.996832928,0.575176344,6.996832928,0.575176344,1.005456582,1.01219088,0.498331151,0.501668849,0.855514209,-0.781245679,0.647830496
4.966666667,6.974535577,0.576114505,6.974535577,0.576114505,1.002252416,1.013841849,0.497125771,0.502874229,0.855974653,-0.784151042,0.646263502
5.05,6.991859016,0.571407872,6.991859016,0.571407872,1.004741823,1.005559152,0.499796715,0.500203285,0.855616921,-0.769575216,0.649735729
5.133333333,7.039797575,0.576273545,7.039797575,0.576273545,1.011630674,1.014121727,0.499385154,0.500614846,0.854626982,-0.784643569,0.6492007
5.216666667,6.962091579,0.573135373,6.962091579,0.573135373,1.000464192,1.008599195,0.497975424,0.502024576,0.856231624,-0.774925061,0.647368051
5.3,7.02315189,0.573590344,7.02315189,0.573590344,1.009238661,1.009399849,0.499960075,0.500039925,0.854970718,-0.776334045,0.649948098
5.383333333,6.996257908,0.574103297,6.996257908,0.574103297,1.005373951,1.01030254,0.498777435,0.501222565,0.855526083,-0.777922594,0.648410666
5.466666667,7.003143211,0.575340732,7.003143211,0.575340732,1.00636338,1.012480168,0.498485076,0.501514924,0.855383901,-0.781754767,0.648030599
5.55,6.9848269,0.576211472,6.9848269,0.576211472,1.003731296,1.014012491,0.497452304,0.502547696,0.855762136,-0.784451337,0.646687995
5.633333333,6.958268188,0.572515953,6.958268188,0.572515953,0.999914765,1.007509145,0.498108426,0.501891574,0.856310578,-0.773006799,0.647540954
5.716666667,7.030363268,0.574523669,7.030363268,0.574523669,1.010274948,1.011042309,0.499810183,0.500189817,0.854821802,-0.779224433,0.649753238
5.8,7.044506758,0.577429578,7.044506758,0.577429578,1.012307391,1.016156103,0.499051323,0.500948677,0.854529737,-0.788223649,0.64876672
5.883333333,6.98717447,0.575551254,6.98717447,0.575551254,1.004068646,1.012850644,0.497822918,0.502177082,0.855713658,-0.782406728,0.647169793
5.966666667,6.977993492,0.577085639,6.977993492,0.577085639,1.002749324,1.015550844,0.496828638,0.503171362,0.855903247,-0.787158518,0.64587723
